title,company,location,salary,min_salary,max_salary,salary_period,average_salary,yearly_avg_salary
Python Developer,Nulinz Private Limited,"Remote in Salem, Tamil Nadu","₹15,000 - ₹20,000 a month",15000.0,20000.0,month,17500.0,210000.0
Python Developer,Zucol Group Of Companies,"Lal Kothi, Jaipur, Rajasthan",,,,,,
Python Training - Internship,A Plus Topper,Remote,"₹4,000 - ₹5,000 a month",4000.0,5000.0,month,4500.0,54000.0
Python/Django developer,Softices Consultancy Pvt Ltd,"Adajan, Surat, Gujarat","₹18,000 - ₹45,000 a month",18000.0,45000.0,month,31500.0,378000.0
Python Developer Intern,Miles Business India pvt. Ltd.,Remote,,,,,,
Python/Django Developer,xScientist Tech LLP,Remote,,,,,,
Python/Django Developer,Feather HR Solutions,"Nagercoil, Tamil Nadu","₹30,000 - ₹50,000 a month",30000.0,50000.0,month,40000.0,480000.0
Python Developer,client in excellent opportunity,Remote,"₹10,00,000 - ₹12,00,000 a year",1000000.0,1200000.0,year,1100000.0,1100000.0
Junior Python Developer-Contractual basis-Remote,CloudZurf Consultant,Remote,"₹10,00,000 - ₹15,00,000 a year",1000000.0,1500000.0,year,1250000.0,1250000.0
Python Developer,Prachas Technologies,Remote,,,,,,
Python Web Developer,Bold Group,Remote,"₹50,000 - ₹75,000 a month",50000.0,75000.0,month,62500.0,750000.0
Junior Python Developer,mindcraft Software Pvt Ltd,"Remote in Hyderabad, Telangana",,,,,,
Junior Python Developer,Acoustte Digital Services,"Panchkula, Haryana","₹7,000 - ₹10,000 a month",7000.0,10000.0,month,8500.0,102000.0
Python Developer,Infosys,"Pune, Maharashtra",,,,,,
Junior Python Developer (1+ Year Experienced),Eleanor Technologies Private Limited,"Bengaluru, Karnataka","₹8,086.00 - ₹30,836.59 a month",8086.0,30836.59,month,19461.295,233535.53999999998
Python Developer(Fresher),CXL Technologies,"Noida, Uttar Pradesh",,,,,,
Trainer for Students-Python Web Developer,KRION CONSULTING Pvt Ltd,"Mysuru, Karnataka",Part-time,,,,,
Python Developer Intern,Vibrace Technologies,"Coimbatore, Tamil Nadu","₹12,000 - ₹35,000 a month",12000.0,35000.0,month,23500.0,282000.0
PYTHON DEVELOPER,Emerinter,India,,,,,,
Python/Django Developer,Leanvia LLC,Remote,"Full-time
+1",,,,,
Junior Python Developer,rccenterprises,"Ambattur, Chennai, Tamil Nadu",,,,,,
Python Developer,CloudTechtiq Technologies Pvt. Ltd.,"Narayan Vihar, Jaipur, Rajasthan","₹25,000.85 - ₹35,000.89 a month",25000.85,35000.89,month,30000.87,360010.44
Python Developer Intern,Inmakes Infotech Pvt.Ltd,Remote,,,,,,
Python Developer,STR Softwares,Remote,"₹4,00,000 - ₹6,00,000 a year",400000.0,600000.0,year,500000.0,500000.0
Python developer fresher,"Altos Technologies Tidel Park, chennai","Remote in Chennai, Tamil Nadu","₹10,000 - ₹12,000 a month",10000.0,12000.0,month,11000.0,132000.0
Django Developer/Python/Rest API/ORM/Id:f0db,Gmware,"Bengaluru, Karnataka","₹25,000 - ₹36,400 a month",25000.0,36400.0,month,30700.0,368400.0
Python Developer Intern,Codehop Interfusion Private Limited,Remote,"₹1,000 a month",,,month,,
Junior Python Developer,HiPaaS Inc,"Thane, Maharashtra","₹20,000 - ₹40,000 a month",20000.0,40000.0,month,30000.0,360000.0
Python / Django Developer (Work from Home),Nestsoft technologies,Remote in India,,,,,,
Junior Python Developer,nCircle Tech,"Pune, Maharashtra",,,,,,
Python Developer,AppQuarterz Technologies,"Faridabad, Haryana",,,,,,
Python Developer,Prune digital,"Noida, Uttar Pradesh",Full-time,,,,,
"Python , Django Developer",Infosys,"Pune, Maharashtra",,,,,,
LLM Python Developer,Orion Solutions LLC,Remote,"₹16,00,000 - ₹30,00,000 a year",1600000.0,3000000.0,year,2300000.0,2300000.0
Python Developer,Canopus Infosystems Private Limited,Remote,,,,,,
Junior Python Developer,R. Wadiwala Security Pvt Ltd,"Piplod, Surat, Gujarat","₹20,00,000 - ₹24,00,000 a year",2000000.0,2400000.0,year,2200000.0,2200000.0
Python Developer,Infocom Software Pvt Ltd.,"Kochi, Kerala","₹25,000 - ₹45,000 a month",25000.0,45000.0,month,35000.0,420000.0
Python Developer,Swethan Consulting,Remote,,,,,,
Jr Python Developer,Veracity Software,Remote in India,,,,,,
Python Developer Intern,Regami Solutions,"Chennai, Tamil Nadu",,,,,,
Junior Python Developer,Asthra tevh,"Nagercoil, Tamil Nadu",,,,,,
Sr. Python Developer,Mobile Programming India Pvt. Ltd.,Remote,"Full-time
+1",,,,,
Sr. Python Developer(AIML),Appventurez Mobitech,"Delhi, Delhi","₹20,000 - ₹60,000 a month",20000.0,60000.0,month,40000.0,480000.0
Jr. Python + TWA Developer Remote (Contractual),R V Tech,Remote,"₹10,00,000 - ₹15,00,000 a year",1000000.0,1500000.0,year,1250000.0,1250000.0
Python Developer,Persistent Systems,Hybrid work in India,,,,,,
